symbol,weight
TRGP,0.049063
EXPD,0.048777
SJM,0.048696
PFG,0.048601
BR,0.048337
ATO,0.048155
MOH,0.048132
BALL,0.047952
NVR,0.047861
EPAM,0.047618
AES,0.047495
DGX,0.047351
IEX,0.047303
MRO,0.04715
HBAN,0.046547
SEDG,0.045653
TER,0.045645
FDS,0.045121
ZBRA,0.045061
FLT,0.044564
HWM,0.044492
LW,0.044486
IRM,0.0443
BBY,0.043942
GRMN,0.043863
MOS,0.043252
TYL,0.04273
FMC,0.042699
EVRG,0.042334
J,0.042257
AVY,0.042118
IPG,0.041819
CBOE,0.041655
TXT,0.041535
RE,0.041461
CFG,0.041456
JBHT,0.041067
PAYC,0.040932
INCY,0.0408
CF,0.040788
UAL,0.040568
BRO,0.040511
BG,0.040459
LNT,0.040269
LKQ,0.040176
MGM,0.03985
NTAP,0.039841
EXPE,0.03971
ESS,0.039135
RCL,0.038902
PTC,0.038862
PHM,0.038794
PKG,0.038542
ETSY,0.037952
IP,0.037529
MKTX,0.037462
WRB,0.037321
POOL,0.037061
SYF,0.03645
STX,0.036444
AKAM,0.036329
UDR,0.036216
LDOS,0.03615
APA,0.036051
TFX,0.03588
SNA,0.035437
TRMB,0.035372
VTRS,0.035057
TECH,0.034671
DPZ,0.034387
PEAK,0.034162
CTLT,0.034087
EQT,0.033984
KIM,0.033890000000000003
HRL,0.033816
NI,0.033787
CPT,0.033557
HST,0.033506
HSIC,0.033415
WYNN,0.033221
BF-B,0.032859
NDSN,0.03285
WDC,0.032709
CPB,0.032549
KEY,0.032393
L,0.031881
BWA,0.031855
SWK,0.031794
CHRW,0.031733
PARA,0.031702
JKHY,0.031508
JNPR,0.031446
MAS,0.030759
CDAY,0.030722
CE,0.030645
KMX,0.030107
FOXA,0.029748
CRL,0.02915
MTCH,0.029102
GEN,0.028845
BIO,0.028771
LYV,0.028465
CCL,0.028415
TAP,0.028394
QRVO,0.028375
GL,0.028266
EMN,0.028248
TPR,0.028134
CZR,0.027898
REG,0.027063
