symbol,weight
MSFT,6.42
DE,4.09
ABEA,4.01
MA,3.67
FISV,3.36
LIN,3.34
CRM,3.3
AAPL,3.23
ORCL,3.09
CME,2.92
BAC,2.89
PG,2.85
GILD,2.79
AMAT,2.74
BALL,2.73
PC8-BE,2.58
MDLZ,2.51
SPGI,2.46
WM,2.44
DHR,2.42
VRSK,2.41
ICE,2.35
MMC,2.35
BDX,2.32
TMO,2.29
