symbol,weight,Price,Remark
ZLIN,2.045,0,Known 404 Symbol
BIRD1-RT,0,0,Known 404 Pattern
BIRD2-RT,0,0,Known 404 Pattern
BIRD3-RT,0,0,Known 404 Pattern
CF-TAXMM,0.804,0,Known 404 Pattern
