ConsCode,Ticker,Price,IndexShares,Weight%
C117353,NHPC,40.25,2282541198,0.01808
C117492,BLA,27.5,516197202,0.006754
C117599,MOUWASAT,234.2,47500000,0.047794
C117755,1099,25,1252293192,0.064281
C117780,1618,2.07,2868129000,0.01219
C117977,1313,3.77,2189068047,0.016945
C118579,OINL,254.7,331429027,0.016613
C118813,SANB11,25.95,368587947,0.030477
C119446,MAXIS,4.09,1995779640,0.029907
C119490,ENGI11,41.75,295869865,0.039359
C119526,960,21.4,1905221408,0.083713
C119654,1988,2.68,6373091367,0.035069
C119916,916,8.56,3340029000,0.058703
C120043,JSW,252,381715388,0.01893
C120133,2601,21.45,2580751470,0.11366
C120531,IVL,34,1781497320,0.028821
C120546,GPL,1125.35,88151881,0.019523
C120665,EMTK,820,28069488843,0.024877
C120771,DQ,44.47,55886885,0.040056
C121182,JUBI,433,361963570,0.030844
C121286,KOZAL,21.6,960750000,0.017369
C121738,TOWR,920,18717230317,0.018611
C122008,881,37.3,656891115,0.050308
C122039,HTHT,50.12,211461651,0.170818
C122430,PSYS,4547.3,48431923,0.043342
C123294,CHDRAUIB,102.91,460900615,0.041909
C123967,LHC,19.43,1382683115,0.023734
C124063,2208,6.47,655138465,0.008703
C124158,2128,6.8,928243585,0.01296
C124245,4938,70.4,2044641768,0.07599
C124610,1288,2.97,30738823096,0.187446
C125755,853,18.94,922188814,0.035862
C125772,867,12.6,1224233592,0.031671
C125981,ICBP,10075,2264742534,0.024661
C126100,956,3.37,1748025396,0.012095
C126159,TAL,6.3,441527661,0.044832
C126350,COAL,221.7,2081343086,0.090809
C126351,OBER,896.75,117427291,0.020723
C126373,TBIG,2090,4687212247,0.010588
C126382,TRGYO,14.03,150000000,0.001761
C126488,PRIO3,34.86,670704786,0.074498
C126654,PCHEM,7.5,2824000000,0.0776
C126677,RBP,138.03,74723996,0.009112
C127146,EKGYO,6.69,1856279100,0.010394
C127340,3618,2.83,2337288041,0.013581
C127452,1590,1145,155999998,0.094296
C127566,1157,4.13,1497171248,0.012696
C128044,3105,182,402777565,0.038699
C129170,1378,7.28,2242610469,0.033521
C129513,FUNO11,25.22,2872113137,0.064001
C129924,OUT,35,839430658,0.025956
C130494,3360,6.83,1363677969,0.019123
C131568,MGLU3,3.37,3043623610,0.032682
C131654,MUTH,1020.15,106880494,0.021458
C131811,2607,15.04,839113379,0.025912
C131851,PFAVAL,567,4315962608,0.008632
C133127,579,1.83,1618272000,0.00608
C133430,5871,223.5,1378937953,0.1627
C133463,6808,3,1963703917,0.012096
C133597,RA,132.52,236438491,0.027685
C134175,LTFH,86.45,894110215,0.015212
C134634,PGOLD,32.9,976883508,0.009519
C134676,4966,1055,69828227,0.038891
C135013,6030,16.94,2244076855,0.078052
C136392,1336,19,950334432,0.037073
C136446,6837,4.98,3409568820,0.034863
C136504,NRP,105.84,463506023,0.043339
C136649,EMI,20.95,3163030738,0.019627
C136762,4958,114,630562935,0.037949
C136770,HAGA,65.5,1081479123,0.008331
C136860,EXTRA,80.6,39200000,0.013574
C136987,5269,1175,38722217,0.024019
C137883,OZKGY,12.15,189241730,0.001924
C138497,VIPS,15.14,381684825,0.093137
C138857,GTCAP,501,99030912,0.014695
C139130,ALPEKA,19.82,373362026,0.006538
C139291,PFGRUPSU,11400,78131556,0.003142
C139391,5274,2750,30379838,0.044105
C139784,POLHO,11.86,186363450,0.00185
C140065,SEERA,23.46,147000000,0.014816
C140122,TCP,13.2,586529244,0.00684
C140246,FGV,1.51,691022393,0.003823
C140659,CATERING,87.2,40180000,0.015053
C140709,IHH,5.88,2937270034,0.063279
C140910,Q*,112.12,168408800,0.016684
C142409,ASTRO,0.7,1541067748,0.003952
C142784,APAT,1198.1,170713140,0.040251
C142905,TTMT/A,217.2,381377172,0.016302
C142959,2196,23.4,543493860,0.026112
C143276,EIM,562,114247776,0.007551
C143321,884,0.76,5536151879,0.008639
C143376,YY,30.23,45400851,0.02212
C143423,BERA,12.36,619242710,0.006406
C143453,1030,1.88,2639480134,0.010188
C143686,1339,2.61,8201793000,0.043952
C143919,DALLAH,154,40987017,0.027118
C144094,1908,24.55,723920296,0.03649
C144186,INDUSTOW,141.65,875413172,0.024403
C144319,6409,1715,64945483,0.0588
C144445,SSW,37.12,2798544995,0.091774
C144867,EA,75.5,1658358000,0.059576
C146166,BBSE3,34.05,673864205,0.07311
C146250,PGSUS,488.1,40306085,0.016466
C146931,6881,4.02,3690984633,0.030465
C147101,2386,3.88,1460801628,0.011637
C147166,ODAS,6.65,1098839767,0.006116
C150591,SNN,46.35,52799995,0.008726
C151519,WPRTS,3.63,733265100,0.009752
C151990,ABEV3,14.43,4359044747,0.200422
C152541,968,9.05,4248833717,0.07895
C152686,KLBN11,17.89,758719280,0.043249
C152729,ATHM,31.08,60016786,0.030064
C152746,1268,13.24,470585555,0.012793
C152803,DANHOS13,23.78,238915390,0.00502
C152806,1359,0.96,8758751626,0.017264
C152830,6415,479,323491992,0.081802
C153146,586,13.06,1492268028,0.040015
C153148,6818,2.38,3100064500,0.015149
C153170,FESTI,181,303000000,0.00645
C153351,DIF,12.8,5209510335,0.031729
C153562,1513,28.7,151590712,0.008933
C154100,VIO,4.18,64590088,0.004753
C154233,8454,880,55199090,0.025644
C154299,MPHC,1.966,4334295375,0.037731
C155007,WB,18.17,71096183,0.020821
C155400,SAWAD,53.25,628354535,0.015921
C155670,2202,12,2201186842,0.054234
C155757,FIBRAPL,61.76,538013041,0.029359
C156225,1375,1.16,1002747000,0.002388
C156604,2186,3.72,1764311642,0.013476
C157651,5876,46.4,3736372493,0.091524
C158048,1347,37.6,411312890,0.031754
C158280,6488,513,212060784,0.057431
C158786,SNB,49.65,2173546673,0.46364
C158984,CBG,88,338510000,0.014174
C159107,MTC,34,672040000,0.010872
C159412,1816,1.9,11163625000,0.04355
C159413,6869,17.16,171693175,0.006049
C159742,1958,2.15,2247175876,0.00992
C160014,8464,324,137719494,0.023556
C160638,AKSEN,30.52,252436576,0.006448
C162308,RAIL3,18.66,1251955237,0.074437
C162320,3606,33.4,606757200,0.04161
C162436,REITIR,86,737761896,0.007462
C162455,1776,11.24,1087624600,0.0251
C16321,JARIR,163.4,58800000,0.041278
C163343,GPSC,66.75,687450020,0.021834
C163711,ADANIT,953.2,252834030,0.047429
C163712,6886,9.29,1592439280,0.030375
C164297,1530,7.96,1515602817,0.02477
C164625,MDKA,4160,18550894859,0.083406
C164683,1528,3.47,596662671,0.004251
C164684,3396,8.68,515943990,0.009195
C165324,3969,2.98,1567224728,0.009589
C165689,IDFCFB,55.05,3241894991,0.035122
C16628,3900,9.91,862875180,0.017557
C166690,1508,0.53,6677825831,0.007267
C166788,2799,0.445,15446909796,0.014114
C166952,3908,15.18,1477518935,0.046051
C166998,INDIGO,1911.95,122713683,0.046173
C167117,3799,3.21,2054117625,0.013538
C167176,6865,22.15,449476000,0.020442
C167746,3996,1.03,4651318000,0.009837
C167792,SITES1A1,17.79,1252350000,0.019685
C16807,AURE3,14.73,358802186,0.01684
C168193,DLPL,1836.1,34846070,0.012591
C168216,ALKEM,3405.65,24590538,0.016481
C168267,1548,17.06,961308324,0.033672
C168775,ENELCHIL,41.9,24832392069,0.02071
C169963,ISDMR,31.6,148683000,0.003932
C17009,GMRI,43.95,2424776099,0.020973
C170309,MONET,85.8,336774661,0.021757
C170400,BID,404.77,332385574,0.118858
C170490,1585,19.4,993325035,0.039566
C171138,3958,4.4,818401994,0.007394
C171164,1579,24.25,471105000,0.023456
C171255,MAXHEALT,430.35,738826693,0.062573
C17136,TECHM,1092.75,605092015,0.130126
C171521,6178,5.46,260866000,0.002924
C171560,LTIM,4773.25,91648247,0.086091
C171702,RBK,143.65,443640185,0.012542
C172004,1658,4.74,9368798000,0.091179
C172009,IPRU,440.95,382203628,0.033167
C172094,6099,7.69,455052747,0.007185
C172095,LTTS,3597.3,26367883,0.018667
C172427,3320,6.32,1654556335,0.02147
C172536,DCP,26.19,371251049,0.00859
C172557,VBL,1393.5,202499388,0.055533
C172668,6066,7.85,902385238,0.014544
C172705,LAURUS,304.55,386940739,0.023191
C172983,CUERVO*,47.16,538676445,0.022446
C173214,DMART,3496.1,148828598,0.102398
C173277,2611,9.67,755026400,0.014991
C173885,BBAJIOO,63.93,708235441,0.040006
C173887,ADMIE,1.814,113345221,0.00362
C173893,2269,47.35,3546074932,0.344748
C173902,MAVI,109,72320455,0.006598
C174101,CRFB3,11.37,528895758,0.019161
C174105,ABCAP,157.9,460549065,0.014311
C174158,BGRIM,39.25,714322800,0.013341
C17458,3968,39.15,3784279836,0.304192
C174798,AUBANK,569.45,325687920,0.036499
C174986,TIINDIA,2597.9,97712593,0.049957
C174989,BPAC11,20.45,1156751256,0.075374
C175083,M,18.26,75935001,0.004944
C17539,BEM,8.95,7948200000,0.033848
C175444,PPH,17.2,2061920717,0.031331
C175454,DIXON,2887.45,35484357,0.020164
C175511,6060,25.2,746349963,0.038617
C175537,ICICIGI,1088.65,240568214,0.05154
C175562,SBILIFE,1116.25,419945826,0.092252
C175692,GICRE,140.45,97547482,0.002696
C175732,SDPL,4.24,3580265449,0.055618
C175855,NAM,219.3,163033537,0.007036
C175862,772,39.05,400462379,0.032108
C175888,6669,1130,86685725,0.051712
C175930,601668,6.12,2936371749,0.042098
C175933,EMAARDEV,5.57,840000000,0.020533
C175968,HDFCLIFE,514.65,985762546,0.09984
C175969,600519,1790.99,87933846,0.368938
C175970,601318,45.63,758286515,0.081056
C175971,600036,34.14,1444026110,0.115489
C175972,601288,3.17,6624880545,0.049197
C175973,601398,4.53,5392244251,0.057223
C175974,600000,7.23,2054652030,0.0348
C175975,601166,16.97,1454193353,0.057811
C175976,601988,3.43,3138197963,0.025216
C175977,601328,5.18,2747560481,0.033341
C175978,600016,3.46,2482348625,0.020121
C175979,601766,6.6,1702945863,0.02633
C175980,600104,14.32,677397622,0.022724
C175981,601601,26.72,479152902,0.029993
C175982,600028,5.71,2388944276,0.031956
C175983,600030,21.17,854032898,0.042354
C175984,600276,45.15,446530159,0.047229
C175985,601818,3.04,3301423632,0.023511
C175986,601211,14.98,526039112,0.01846
C175987,600050,5.56,1949765759,0.025396
C175988,601390,7.7,1437398458,0.025928
C175989,600887,29.14,448009164,0.030583
C175991,601169,4.44,1480008899,0.015394
C175993,601088,27.74,494731139,0.03215
C175994,601006,7.17,1040684302,0.01748
C175995,600019,6.53,1313063845,0.020086
C175996,601688,13.87,515032302,0.016735
C175997,600837,9.07,675824183,0.01436
C175998,600015,5.38,1114044993,0.014041
C175999,600999,14.2,519540369,0.017283
C176001,600309,94.96,219782264,0.048892
C176002,601857,6.15,1743205891,0.025115
C176003,601336,31.47,145980754,0.010762
C176004,600010,1.89,2758008438,0.012211
C176006,601985,6.56,1178058139,0.018104
C176007,600585,28.59,279979181,0.018752
C176008,601600,5.72,925233791,0.012398
C176010,600958,10.81,522863800,0.013241
C176011,600690,22.49,441598686,0.023266
C176013,601669,7.28,1205831153,0.020565
C176014,600009,57.06,174193694,0.023285
